timestamp,has_face,ear,blink_cnt,pitch,yaw,roll,emo_feature
2.48,True,0.34,0,0.78,4.21,-2.75,normal
2.56,True,0.38,0,1.0,4.25,-2.81,normal
2.62,True,0.41,0,0.68,3.89,-2.75,normal
2.7,True,0.4,0,0.93,3.81,-2.69,normal
2.78,True,0.41,0,0.59,3.75,-2.78,normal
2.86,True,0.41,0,0.39,3.52,-2.69,normal
2.92,True,0.41,0,0.5,3.31,-2.81,normal
3.0,True,0.41,0,0.38,3.11,-2.75,normal
3.08,True,0.42,0,0.54,3.09,-2.78,normal
3.16,True,0.42,0,0.41,3.35,-2.69,blank
3.22,True,0.43,0,0.53,3.36,-2.59,blank
3.3,True,0.33,0,0.26,3.3,-2.72,blank
3.38,True,0.12,1,-0.19,3.39,-2.39,tired
3.45,True,0.26,1,0.11,3.2,-1.9,blank
3.52,True,0.34,1,-0.42,3.56,-2.1,blank
3.59,True,0.1,2,-0.36,3.41,-2.05,tired
3.67,True,0.15,2,-0.44,3.16,-1.38,tired
3.75,True,0.35,2,-0.45,3.39,-1.19,normal
3.81,True,0.39,2,-0.31,3.68,-1.49,normal
3.89,True,0.35,2,-0.42,3.64,-1.77,normal
3.97,True,0.11,3,-0.49,3.44,-1.66,tired
4.05,True,0.25,3,-0.33,4.07,-1.19,normal
4.12,True,0.36,3,-0.32,3.44,-1.53,normal
4.19,True,0.37,3,-0.97,3.91,-1.61,normal
4.27,True,0.37,3,-1.21,3.47,-1.65,normal
4.34,True,0.37,3,-1.06,3.41,-1.46,normal
4.42,True,0.38,3,-1.62,3.65,-1.33,normal
4.48,True,0.37,3,-1.87,3.12,-0.96,normal
4.56,True,0.37,3,-2.0,3.91,-0.96,normal
4.64,True,0.37,3,-2.14,3.43,-0.91,normal
4.72,True,0.37,3,-2.62,3.59,-0.93,normal
4.78,True,0.17,3,-3.11,5.34,-1.2,tired
4.86,True,0.06,4,-3.31,3.55,-2.61,tired
4.94,True,0.13,4,-6.47,3.99,-5.94,tired
5.02,True,0.27,4,-6.06,2.9,-7.78,normal
5.08,True,0.33,4,-4.76,2.0,-8.67,normal
5.16,True,0.34,4,-4.07,-1.68,-9.39,normal
5.23,True,0.33,4,-4.3,0.66,-7.54,normal
5.31,True,0.25,4,-6.24,11.96,-5.58,normal
5.38,True,0.28,4,-6.37,19.83,-3.26,normal
5.45,True,0.29,4,-5.61,27.79,-3.13,normal
5.53,True,0.32,4,-4.34,27.87,-3.66,normal
5.61,True,0.29,4,-3.76,24.14,-4.45,normal
5.67,True,0.11,5,-6.42,9.31,-4.83,tired
5.75,True,0.1,5,-9.21,-6.18,-7.11,tired
5.83,True,0.24,5,-7.92,-17.51,-8.59,normal
5.91,True,0.33,5,-9.24,-23.36,-9.97,sad
5.97,True,0.35,5,-8.93,-27.41,-9.46,sad
6.05,True,0.37,5,-7.02,-25.02,-8.07,normal
6.12,True,0.4,5,-6.07,-20.35,-7.39,normal
6.2,True,0.39,5,-2.86,-16.62,-8.45,normal
6.27,True,0.4,5,-0.63,-14.23,-8.2,normal
6.34,True,0.4,5,-0.61,-12.75,-8.34,normal
6.42,True,0.4,5,0.85,-12.42,-8.18,normal
6.5,True,0.39,5,1.47,-11.69,-7.61,normal
6.58,True,0.38,5,0.97,-12.8,-7.88,normal
